,diff_rmse,diff_tau,aug_ind
44,0.003974204508572748,0.002424242424242329,"(45409, 46916)"
19,0.0002868706213436101,0.002424242424242329,"(59012, 74575)"
114,0.0009222455576425037,0.002424242424242329,"(5240, 805)"
317,0.005459230902976425,0.002020202020202033,"(5718, 20467)"
320,0.01378544554291275,0.002020202020202033,"(62191, 71815)"
381,0.008040461084723366,0.002020202020202033,"(37414, 56918)"
52,0.013397421006804022,0.002020202020202033,"(14139, 42433)"
4,-0.0003838813544493336,0.002020202020202033,"(62007, 76135)"
339,0.00019236763236793464,0.002020202020202033,"(25860, 70300)"
136,-0.002279111286151214,0.002020202020202033,"(18159, 66927)"
97,0.0014127891558381733,0.002020202020202033,"(83313, 92742)"
169,0.0032572475913742183,0.002020202020202033,"(21395, 76433)"
284,0.0009797073053810779,0.002020202020202033,"(86695, 29730)"
164,0.04018742719681731,0.002020202020201922,"(92198, 63144)"
305,0.02533082060889627,0.002020202020201922,"(92201, 76280)"
288,0.0006874088421697788,0.002020202020201922,"(39826, 59074)"
37,0.004141417750189363,0.002020202020201922,"(53903, 74303)"
119,0.034710696018415865,0.002020202020201922,"(10810, 91622)"
13,3.249905968255584e-05,0.002020202020201922,"(78252, 43656)"
375,0.0008916209174248124,0.002020202020201922,"(48112, 26951)"
294,-0.0009592112125885177,0.002020202020201922,"(55161, 48823)"
161,0.011666682482786628,0.002020202020201922,"(33916, 85627)"
300,0.012331770033461115,0.002020202020201922,"(24856, 68309)"
147,0.011277377489612411,0.002020202020201922,"(88427, 51057)"
30,0.0038658055464213803,0.002020202020201922,"(9428, 53507)"
157,0.020439129143865836,0.002020202020201922,"(88302, 71856)"
144,-0.00046446643077296956,0.002020202020201922,"(58739, 46564)"
349,0.0006115818061934453,0.002020202020201922,"(15818, 29520)"
322,-0.00010526241794409086,0.002020202020201922,"(20633, 16183)"
279,0.008816087025482644,0.002020202020201922,"(15465, 34447)"
140,0.025801418579177532,0.002020202020201922,"(23073, 11857)"
79,0.0006992587775387082,0.002020202020201922,"(95201, 28506)"
16,0.017048154471613702,0.002020202020201922,"(60794, 8544)"
284,0.0037032676410907184,0.002020202020201922,"(84696, 99372)"
285,0.0068450625570187495,0.002020202020201922,"(344, 43148)"
351,-3.42331742846369e-05,0.002020202020201922,"(41791, 3087)"
296,0.0029713022198645245,0.002020202020201922,"(1257, 38858)"
159,0.003820197909947143,0.002020202020201922,"(53572, 83144)"
160,0.0012962650780483087,0.002020202020201922,"(38058, 49569)"
128,0.00471674856354426,0.002020202020201922,"(88699, 99335)"
323,0.03167638743418713,0.002020202020201922,"(6927, 76377)"
297,0.06400933260472871,0.002020202020201922,"(4850, 63643)"
324,-0.0005576941906954291,0.002020202020201922,"(93248, 34832)"
352,0.0012777489782672125,0.002020202020201922,"(16301, 50916)"
355,-0.00012483021606188305,0.002020202020201922,"(41559, 50508)"
235,0.0013454481670977791,0.002020202020201922,"(39947, 13058)"
383,0.025400952658741843,0.002020202020201922,"(67792, 55215)"
398,0.00020151871349910477,0.002020202020201922,"(82649, 29150)"
68,0.004766667479073866,0.002020202020201922,"(28876, 49932)"
185,0.017102722255238484,0.002020202020201922,"(85366, 11762)"
335,0.00031680633082253884,0.002020202020201922,"(13966, 13815)"
397,4.169559577610338e-05,0.002020202020201922,"(66856, 15352)"
393,0.012447866612441683,0.002020202020201922,"(32281, 67747)"
352,0.0007646691931164351,0.002020202020201922,"(86561, 49736)"
376,0.02921433935716991,0.002020202020201922,"(53289, 82451)"
329,0.009729862267567585,0.002020202020201922,"(52567, 78353)"
36,0.001077235709525115,0.002020202020201922,"(84018, 73606)"
219,0.002537592337639366,0.002020202020201922,"(39559, 53116)"
79,0.00402381690668116,0.002020202020201922,"(93500, 29664)"
43,0.001788515577011457,0.002020202020201922,"(14393, 37654)"
136,0.007587344545963132,0.002020202020201922,"(6581, 97149)"
385,0.0016926376081120298,0.002020202020201922,"(15393, 70460)"
22,0.03332965999925905,0.002020202020201922,"(40361, 85043)"
371,0.0021426968058404217,0.002020202020201922,"(27210, 2541)"
87,0.013171535181777494,0.002020202020201922,"(61198, 9814)"
399,0.00280660563961313,0.002020202020201922,"(97093, 22621)"
361,0.001361657486803003,0.002020202020201922,"(30613, 5615)"
